Date,Close,High,Low,Open,Volume
2025-01-06,4882.90283203125,4915.602656590891,4819.014392838454,4915.602656590891,278200
2025-01-07,4769.83544921875,4862.5845009496215,4761.779709731204,4854.678328510249,220300
2025-01-08,4845.73681640625,4850.530731159567,4759.292898956138,4782.564655107194,266300
2025-01-10,4713.5947265625,4809.367652644,4674.42078667215,4782.873404640062,306200
2025-01-13,4737.81103515625,4754.399864162895,4634.798199617549,4684.494759194582,209900
2025-01-14,4752.64013671875,4782.7443902880605,4725.062012342534,4755.64361789124,206100
2025-01-15,4803.19140625,4872.708513266449,4789.3375167870245,4825.160278601117,230300
2025-01-16,4838.357421875,4874.757083568004,4771.8933305079745,4791.395802768774,188400
2025-01-17,4899.8193359375,4949.704801803915,4867.646881644789,4922.892480797488,260100
2025-01-21,4660.74609375,4907.596789122123,4589.726999027273,4898.477084244841,405900
2025-01-22,4593.91357421875,4678.74624775944,4570.741367296849,4655.922221238289,372900
2025-01-23,4791.75439453125,4796.040849806782,4583.80911088762,4595.345682540594,402300
2025-01-24,4738.79638671875,4801.560644341161,4697.921363648155,4775.703026952414,240000
2025-01-27,4649.75634765625,4754.97725004687,4631.367856335792,4631.367856335792,299600
2025-01-28,4659.025390625,4725.499198324097,4634.4803712650055,4644.52515760315,331000
2025-01-29,4696.00146484375,4718.030067314835,4663.092831546558,4679.790923043389,179100
2025-01-30,4748.18408203125,4763.111648632099,4674.310594824982,4763.111648632099,237000
2025-01-31,4711.61572265625,4803.549434513065,4685.240934908297,4769.735628969908,245200
2025-02-03,4667.19970703125,4716.886067256905,4580.208999647374,4644.61411491554,251600
2025-02-04,4653.31640625,4702.674498216074,4630.372920573595,4644.932397102263,261800
2025-02-05,4673.654296875,4752.510110285415,4658.4178848594,4662.754357300098,218600
2025-02-06,4753.5341796875,4820.455709079497,4703.976992854091,4704.733083277597,428000
2025-02-07,4860.705078125,5044.9206880638585,4842.336011278841,4858.148841366119,430600
2025-02-10,4886.572265625,4959.689667107797,4879.123535665018,4935.532647706968,191800
2025-02-11,4870.5009765625,4904.772226842785,4836.965906963839,4869.248109703272,177400
2025-02-12,4990.62890625,4993.165232906054,4850.32143288467,4850.32143288467,198900
2025-02-13,4981.271484375,5051.275664079157,4957.014913248859,5031.753278693215,224400
2025-02-14,5016.775390625,5057.590683223705,4948.292622763818,5057.590683223705,202500
2025-02-18,5113.72119140625,5136.714694931044,5032.6476033603185,5080.524108239156,277900
2025-02-19,5082.61328125,5140.315569868348,5015.403287107911,5140.315569868348,187200
2025-02-20,4990.74853515625,5082.006280327468,4948.560918450145,5082.006280327468,301600
2025-02-21,4963.3095703125,5253.07384066912,4942.831998452589,5184.919349621984,724500
2025-02-24,5021.42919921875,5074.98439116815,4970.738118636423,4976.595998497561,350200
2025-02-25,5006.26318359375,5062.125500665226,4924.801594062003,5062.125500665226,359000
2025-02-26,5006.9794921875,5100.912457260659,4997.481984350714,5030.301269024062,257200
2025-02-27,4891.19677734375,5018.506009977344,4889.724901677233,5014.497807485945,209600
2025-02-28,4988.54052734375,4988.54052734375,4869.297234365067,4911.10704902524,305400
2025-03-03,4919.0634765625,5027.068851344781,4887.189185086914,4988.540768745175,351900
2025-03-04,4871.57470703125,4940.7441204821735,4764.405068145053,4822.862956508742,389700
2025-03-05,4890.53076171875,4922.375431884312,4815.72295655833,4867.805796719775,213100
2025-03-06,4670.25341796875,4845.030750940954,4660.586434465763,4789.635589634892,305600
2025-03-07,4657.30810546875,4709.179397213494,4585.655467257273,4662.659754795748,296900
2025-03-10,4435.72216796875,4567.398127109048,4390.767442835709,4567.398127109048,360800
2025-03-11,4338.4384765625,4414.206790010546,4293.20443967435,4384.877826646488,403400
2025-03-12,4385.38623046875,4407.091112960561,4285.849843668395,4399.816412966108,305700
2025-03-13,4280.6279296875,4385.386536530907,4264.682954031653,4366.97984115329,319100
2025-03-14,4450.12353515625,4450.12353515625,4338.209920938046,4346.97946376791,252900
2025-03-17,4547.69677734375,4591.884137724642,4446.426128637132,4458.7434867258635,284200
2025-03-18,4456.1318359375,4549.709294559587,4401.470859368994,4543.939167969217,286100
2025-03-19,4576.0986328125,4621.5813265613815,4432.892622275342,4432.892622275342,278400
2025-03-20,4573.248046875,4636.689274948039,4531.621675031193,4553.3168271576305,239300
2025-03-21,4601.380859375,4629.135179641156,4442.001175263007,4515.74668686033,574400
2025-03-24,4693.5234375,4711.700456915134,4641.433175115561,4658.105621005556,232000
2025-03-25,4761.47900390625,4778.101330242604,4706.438958407674,4706.438958407674,264900
2025-03-26,4747.77587890625,4765.554370195757,4715.78617571314,4761.568126473301,179300
2025-03-27,4736.45458984375,4790.807061852577,4598.112176823593,4723.6988045903045,194000
2025-03-28,4618.30322265625,4736.455070199562,4613.67904322705,4736.455070199562,185400
2025-03-31,4591.06689453125,4610.130989271101,4425.587652041184,4507.256018894217,359400
2025-04-01,4669.63525390625,4677.8271986384825,4514.1620209091525,4556.365985893767,222000
2025-04-02,4673.17333984375,4713.335040424548,4608.526797076914,4608.526797076914,193400
2025-04-03,4435.22412109375,4508.202258852876,4368.38495440293,4473.8014425366955,394300
2025-04-04,4269.287109375,4497.728759095535,4269.287109375,4307.355932741775,508500
2025-04-07,4230.08251953125,4448.568289749956,4093.284578101427,4155.738975145613,558400
2025-04-08,4149.8291015625,4415.2729347709555,4115.378165370668,4359.963803126322,350900
2025-04-09,4600.4443359375,4637.805641685553,4082.1430771499918,4111.990273971744,602600
2025-04-10,4479.18310546875,4543.172248867452,4358.798243735122,4510.036595349802,423300
2025-04-11,4570.75634765625,4627.710193582568,4419.687833329153,4492.7160901294155,305000
2025-04-14,4541.1689453125,4685.531124471581,4531.781418396299,4685.531124471581,288100
2025-04-15,4596.57763671875,4601.630025676013,4508.531377418337,4584.170744563945,215700
2025-04-16,4525.2236328125,4611.844632047332,4476.322562558222,4558.120362545725,248800
2025-04-17,4557.58251953125,4588.754734014047,4501.0972659545405,4570.8069036807165,216800
2025-04-21,4422.369140625,4563.063806275509,4356.088098082582,4550.935736029663,235500
2025-04-22,4582.26708984375,4592.660909215441,4441.592389231459,4449.644679632336,236300
2025-04-23,4714.759765625,4783.492791781817,4648.957057012954,4703.598574405406,237900
2025-04-24,4811.36669921875,4827.101949322605,4675.495245149141,4689.935647229791,238000
2025-04-25,4821.80029296875,4861.63304814967,4777.064535781907,4812.014239639935,189600
2025-04-28,4873.13330078125,4899.29302512121,4807.6493211806965,4863.217324914441,232900
2025-04-29,4892.34716796875,4913.165463632441,4825.15910280128,4833.311147007012,372300
2025-04-30,5081.7431640625,5098.545532221595,4706.528230134533,4715.955657899211,458000
2025-05-01,5083.88623046875,5142.174828870294,4952.908046332366,4985.067088463478,311600
2025-05-02,5184.9072265625,5208.8047391889195,5100.697824492138,5161.238903495387,270900
2025-05-05,5173.267578125,5231.944969878889,5157.20289888062,5157.20289888062,192500
2025-05-06,5144.61669921875,5197.962395162471,5134.362047654675,5172.3009495478245,182700
2025-05-07,5178.3701171875,5210.568573351747,5114.968792607413,5145.88213281685,157400
2025-05-08,5147.50634765625,5220.324880388499,5147.446495607588,5183.133401272589,209100
2025-05-09,5055.095703125,5133.7145386738275,5020.674446376698,5123.429717465536,228400
2025-05-12,5177.12451171875,5212.013877740536,5071.020451043484,5161.498260518504,293800
2025-05-13,5244.322265625,5284.373992340086,5133.634414629273,5144.606317264122,253600
2025-05-14,5198.60986328125,5270.532076261599,5164.737009400968,5240.445472773389,195500
2025-05-15,5219.7275390625,5267.253473789231,5191.095874979517,5196.039265112404,155600
2025-05-16,5298.7841796875,5314.091706303585,5203.064694639176,5249.026202649721,200500
2025-05-19,5359.5048828125,5361.47805406392,5209.253366289728,5296.741492548145,158700
2025-05-20,5292.4169921875,5356.48594077801,5271.807934574646,5314.640108877675,178400
2025-05-21,5275.1064453125,5315.7459894039985,5242.9075005218765,5268.419559829241,130900
2025-05-22,5323.53955078125,5333.395189131655,5267.741864479078,5279.272387158608,136000
2025-05-23,5314.46044921875,5318.885608387675,5254.527619418899,5262.569691728645,152400
2025-05-27,5432.99169921875,5452.962333983061,5338.497473781964,5338.497473781964,257700
2025-05-28,5456.43017578125,5486.0681325586365,5432.991528935956,5432.991528935956,188600
2025-05-29,5483.07861328125,5490.722158282768,5417.216052608635,5461.1542713161125,193600
2025-05-30,5499.95068359375,5513.473841454249,5458.224556914689,5491.051218511145,232700
2025-06-02,5519.861328125,5525.362363794744,5452.443593496802,5481.084987527865,136700
2025-06-03,5456.24072265625,5541.327465407278,5445.846903492456,5495.1265499425945,212400
2025-06-04,5537.8896484375,5540.99903563825,5454.676802361464,5454.975576029893,209200
2025-06-05,5551.36279296875,5620.305055539667,5530.913342551667,5555.8273666172145,185700
2025-06-06,5604.96044921875,5621.661677109363,5544.2451515265775,5605.909011500953,174100
2025-06-09,5529.89013671875,5613.955374581005,5518.9490115488215,5591.573983540177,199300
2025-06-10,5478.54833984375,5536.598305784081,5425.928966228123,5520.4464246898015,178600
2025-06-11,5456.88525390625,5483.809116836793,5380.68684664833,5478.56813966237,262800
2025-06-12,5452.56298828125,5478.568022346357,5416.484963982677,5455.72746215474,193300
2025-06-13,5289.27392578125,5364.115294530517,5263.298625048018,5335.8139202155135,262000
2025-06-16,5359.8125,5370.444098812919,5303.888759675972,5315.82816554107,224300
2025-06-17,5291.93896484375,5380.097246180148,5275.91674473014,5303.379229707347,196200
2025-06-18,5277.1748046875,5342.702132330559,5268.26046373983,5297.779469287181,181000
2025-06-20,5294.9140625,5368.757149105288,5265.934169120564,5368.757149105288,441900
2025-06-23,5324.25390625,5340.805489852277,5226.651914277017,5331.161935547075,175600
2025-06-24,5472.80810546875,5508.696516024378,5369.256397511954,5380.736633371653,234000
2025-06-25,5475.9228515625,5512.739351778631,5430.6506936044225,5455.757372760152,177300
2025-06-26,5586.38232421875,5622.929267236342,5491.995019418074,5511.171964777292,219300
2025-06-27,5683.34521484375,5701.6637745557655,5603.992086179859,5608.094885921645,297600
2025-06-30,5779.29052734375,5789.043268139419,5681.738259841855,5694.296717151911,287700
2025-07-01,5720.880859375,5785.809117351521,5671.515651658042,5730.93337708682,226100
2025-07-02,5691.96044921875,5700.396121622365,5630.306826873968,5680.220894488099,211400
2025-07-03,5706.974609375,5750.499773591257,5643.27470557393,5687.498374267827,131200
2025-07-07,5805.92431640625,5805.92431640625,5698.120168276558,5715.539885144709,176000
2025-07-08,5703.5107421875,5829.374130111652,5668.241384850738,5805.005926894512,236900
2025-07-09,5658.298828125,5757.088714425197,5643.404547936571,5750.37030024019,185000
2025-07-10,5708.681640625,5756.379796427115,5654.415203000644,5712.285787251616,169200
2025-07-11,5707.2744140625,5715.550205464575,5650.921236774605,5682.8365060672695,150900
2025-07-14,5756.13037109375,5760.023570962825,5679.2524690340415,5687.568230867823,134100
2025-07-15,5665.775390625,5780.048868304128,5630.306669643399,5733.738461181211,163700
2025-07-16,5648.40576171875,5667.5929445005895,5615.552652648985,5643.244724925465,169000
2025-07-17,5674.17138671875,5708.592109071069,5636.695864862331,5646.778604249965,141500
2025-07-18,5693.0986328125,5739.7083307096655,5674.231212721666,5739.7083307096655,147100
2025-07-21,5667.39306640625,5706.6755363877755,5640.24010520409,5655.264045068967,156300
2025-07-22,5765.603515625,5776.055735552533,5667.742211994384,5710.169168226839,143600
2025-07-23,5726.4609375,5759.664027739379,5670.237908924451,5756.020398402512,149500
2025-07-24,5640.28955078125,5748.932586614727,5634.419773509187,5736.064603704478,172500
2025-07-25,5622.59033203125,5670.5175874913275,5614.544125551861,5668.750609937091,184800
2025-07-28,5668.990234375,5675.229492832379,5573.5344543977635,5629.11893562201,225600
2025-07-29,5581.16162109375,5686.210751415493,5532.116173786127,5686.210751415493,324400
2025-07-30,5603.263671875,5681.788153418726,5422.714151326508,5480.564752019096,371400
2025-07-31,5494.6005859375,5654.67510023382,5484.238542359419,5615.332675674872,288400
2025-08-01,5377.03271484375,5470.052743456595,5329.943863103667,5470.052743456595,199600
2025-08-04,5466.67822265625,5471.589688782382,5330.243192018666,5402.69852854633,236900
2025-08-05,5448.47998046875,5498.03480560441,5400.4927690926315,5494.471116488736,221800
2025-08-06,5526.794921875,5529.31061030302,5405.6933562631575,5465.061360931007,199000
2025-08-07,5422.76416015625,5580.392686127504,5396.379408882055,5540.461432559508,202600
2025-08-08,5396.619140625,5444.646318571396,5357.20701350653,5444.646318571396,188800
2025-08-11,5355.03076171875,5422.494693720191,5339.896660386557,5372.5903747821,174900
2025-08-12,5452.15380859375,5458.772297255952,5355.030972686847,5355.030972686847,144500
2025-08-13,5438.55712890625,5473.916178117877,5393.894272521996,5473.916178117877,190500
2025-08-14,5475.34375,5509.814191362329,5409.606824047752,5457.604270490133,179800
2025-08-15,5444.916015625,5504.9625412523865,5427.875528484248,5504.9625412523865,158000
2025-08-18,5522.49267578125,5526.365890606796,5410.20600399696,5439.675290267794,169500
2025-08-19,5574.48291015625,5592.940878554035,5516.652296992235,5529.600220370121,199800
2025-08-20,5630.0869140625,5638.163341553418,5572.685737085582,5574.402995462703,175500
2025-08-21,5700.92529296875,5704.928167085286,5589.457044920845,5638.133008057384,156300
2025-08-22,5711.0380859375,5785.040567269204,5655.313707630314,5715.380707406523,195500
2025-08-25,5693.7978515625,5764.55591972416,5690.323851811958,5698.370058333944,115600
2025-08-26,5695.8740234375,5718.3153683524915,5633.940610413564,5691.072231722702,170900
2025-08-27,5606.02880859375,5683.215747393272,5571.468191137822,5666.434579342226,151200
2025-08-28,5642.2763671875,5655.982750445139,5585.384079826693,5620.323926617387,167900
2025-08-29,5589.42724609375,5624.457271682331,5578.146861314359,5624.457271682331,138900
2025-09-02,5496.087890625,5567.73456520776,5447.591790336444,5567.73456520776,244600
2025-09-03,5573.35498046875,5587.300697766796,5475.573128618959,5515.3644861929315,189800
2025-09-04,5576.259765625,5588.878178464194,5444.576803253114,5560.4271597830775,220400
2025-09-05,5505.7998046875,5652.509765625,5455.0,5594.06982421875,202400
2025-09-08,5569.7001953125,5638.5,5509.97998046875,5528.490234375,214000
2025-09-09,5571.830078125,5604.43017578125,5517.5,5546.7998046875,158800
2025-09-10,5474.81005859375,5564.0,5375.2001953125,5564.0,249700
2025-09-11,5498.0,5537.0,5410.0,5474.81005859375,179800
2025-09-12,5458.31982421875,5520.0,5437.68994140625,5461.0,128800
2025-09-15,5559.830078125,5560.0,5424.0,5500.0,165100
2025-09-16,5475.009765625,5576.580078125,5430.0498046875,5576.580078125,172300
2025-09-17,5553.7001953125,5557.39990234375,5454.9599609375,5493.83984375,211500
2025-09-18,5442.8798828125,5587.75,5410.7900390625,5557.0,234800
2025-09-19,5444.43994140625,5465.66015625,5400.0,5447.9599609375,420500
2025-09-22,5457.1298828125,5477.35009765625,5370.0,5400.0,214400
2025-09-23,5509.02001953125,5517.580078125,5423.91015625,5425.0,179100
2025-09-24,5525.60009765625,5528.06982421875,5428.5,5528.06982421875,152200
2025-09-25,5575.72998046875,5582.18994140625,5454.0,5522.990234375,245200
2025-09-26,5548.0,5586.6201171875,5481.93994140625,5578.4501953125,162300
2025-09-29,5454.81005859375,5586.0498046875,5448.02978515625,5571.66015625,237300
2025-09-30,5399.27001953125,5458.10986328125,5350.93994140625,5427.0,197500
2025-10-01,5350.56005859375,5375.22998046875,5250.0,5352.0,324200
2025-10-02,5424.5498046875,5430.9599609375,5301.0,5325.39013671875,208500
2025-10-03,5418.0498046875,5465.81982421875,5370.1298828125,5449.47021484375,269600
2025-10-06,5419.8701171875,5624.89013671875,5260.080078125,5368.0400390625,353900
2025-10-07,5242.0,5422.22021484375,5188.0,5422.22021484375,264600
2025-10-08,5131.22998046875,5238.22998046875,5110.0,5223.0,289100
2025-10-09,5191.93017578125,5210.830078125,5038.77001953125,5082.7900390625,222500
2025-10-10,5164.93017578125,5239.97998046875,5130.85009765625,5194.2099609375,196900
2025-10-13,5253.85009765625,5263.2900390625,5169.4501953125,5203.83984375,204700
2025-10-14,5280.14013671875,5318.27001953125,5196.0,5209.68017578125,207000
2025-10-15,5080.85986328125,5291.97998046875,5063.0,5291.97998046875,275000
2025-10-16,4952.31005859375,5087.68994140625,4930.81005859375,5059.68994140625,305700
2025-10-17,5070.02001953125,5083.6298828125,4923.5498046875,4948.89990234375,292300
2025-10-20,5141.8798828125,5173.0,5080.43017578125,5105.7998046875,299100
2025-10-21,5286.0,5309.89013671875,5109.0,5140.0,304500
2025-10-22,5230.58984375,5327.9599609375,5206.66015625,5327.9599609375,195800
2025-10-23,5093.47021484375,5258.0,5080.5,5258.0,310700
2025-10-24,5146.16015625,5176.06982421875,5080.0,5130.0,225500
2025-10-27,5254.39990234375,5263.43994140625,5202.830078125,5234.7900390625,214900
2025-10-28,5120.56982421875,5275.0,5120.56982421875,5240.580078125,407100
2025-10-29,5075.85986328125,5220.0,4928.14013671875,5200.009765625,461600
2025-10-30,5080.2099609375,5279.759765625,5055.0,5063.39013671875,326000
2025-10-31,5077.740234375,5109.830078125,5029.52001953125,5065.169921875,177200
2025-11-03,5030.5498046875,5085.22998046875,4983.2900390625,5063.60009765625,226900
2025-11-04,4991.759765625,5080.0,4953.5400390625,4998.5,226800
2025-11-05,4911.14990234375,4988.990234375,4886.990234375,4981.009765625,254900
2025-11-06,4899.0498046875,4930.0,4855.39990234375,4880.0,293200
2025-11-07,4940.0,5014.419921875,4905.0498046875,4917.4501953125,271400
2025-11-10,4958.39990234375,5033.56982421875,4943.27001953125,4956.06005859375,263200
2025-11-11,5050.64990234375,5071.8798828125,4958.39990234375,4973.0,203600
2025-11-12,5175.580078125,5183.08984375,5018.22998046875,5055.0,241800
2025-11-13,5075.60986328125,5235.83984375,5063.10009765625,5209.35009765625,293700
2025-11-14,5048.009765625,5128.8701171875,5020.509765625,5081.64990234375,205500
2025-11-17,4804.009765625,5089.0400390625,4773.0,5030.0,417500
2025-11-18,4783.009765625,4862.419921875,4755.1201171875,4798.18994140625,325600
2025-11-19,4690.77001953125,4788.490234375,4662.5400390625,4770.14990234375,346200
2025-11-20,4583.10009765625,4707.5,4571.1201171875,4673.0,361700
2025-11-21,4768.0,4799.66015625,4600.5,4600.5,476600
2025-11-24,4875.3701171875,4900.0,4811.25,4833.39013671875,402200
2025-11-25,4906.240234375,4952.27001953125,4867.009765625,4882.509765625,335200
2025-11-26,4911.85009765625,4950.0,4889.35986328125,4899.6298828125,283700
2025-11-28,4914.68994140625,4952.47998046875,4885.14990234375,4904.669921875,133300
